start,end,multiple,xirr,max_dd
2006-04-25,2016-04-25,1.7701915595976732,0.08819254498604033,-0.39215215419308247
2004-11-02,2014-10-31,1.8569690225096143,0.09595105532248156,-0.4244485638114519
2014-11-17,2024-11-15,2.4771863234214857,0.13929461114583713,-0.22496306447441983
2005-08-10,2015-08-10,1.8430579440226618,0.094885586513102,-0.4068858771303241
2000-07-03,2010-07-02,0.9484175524672387,-0.008511615898111287,-0.46713763921255613
2007-05-02,2017-05-02,1.8957606290052786,0.09947796963446467,-0.3553123333667235
2012-12-21,2022-12-21,2.121411537031066,0.11570571811919711,-0.228736321798798
2002-06-24,2012-06-22,1.3783665869172486,0.050097137658404164,-0.4628170932198983
2007-03-21,2017-03-21,1.889486056183768,0.09823294007130508,-0.36370139104320975
2001-06-06,2011-06-06,1.246309007567193,0.03477936714198254,-0.46437520219853834
2011-02-01,2021-02-01,2.46060810210354,0.13901169642968053,-0.23051840177896699
2007-06-11,2017-06-09,1.9207867201891524,0.10117941650794127,-0.3518386285613576
2004-11-30,2014-11-28,1.8799018438211617,0.09717695248019156,-0.4219825539264296
2003-02-14,2013-02-14,1.626602636691417,0.07565447294155384,-0.46163408559603414
2008-12-19,2018-12-19,2.2269248567376545,0.12311117919382386,-0.19858372098208077
2010-10-18,2020-10-16,2.4137774794619564,0.13535881273014838,-0.23093479595573585
2015-06-26,2025-06-26,2.4674439693661765,0.13815171140268961,-0.22382934555232858
2006-10-05,2016-10-05,1.7868578459804827,0.09032019487500591,-0.3785703966056094
2001-12-20,2011-12-20,1.237565563260947,0.03347782389171027,-0.46312072020231076
2013-08-15,2023-08-15,2.1911538415960594,0.12087441890907898,-0.2275133812072001
2010-02-09,2020-02-07,2.5042568725644143,0.1413865022637497,-0.13635156282914673
2011-04-28,2021-04-28,2.66057722711263,0.1493312041926418,-0.23031859409485433
2000-11-09,2010-11-09,1.1487848124837436,0.021966389649472354,-0.4662638811358043
2004-08-10,2014-08-08,1.814603986032692,0.09258766780130373,-0.43157030066726043
2012-06-28,2022-06-28,2.2299690185742063,0.12289920837030015,-0.22943064315966888
2013-08-13,2023-08-11,2.1892024453421586,0.12092862292174246,-0.2274421249616665
2006-09-25,2016-09-23,1.8062405786970153,0.0912982399498705,-0.38189329719214005
2013-02-21,2023-02-21,2.12095156420013,0.11563972621012136,-0.2284090822088356
2013-10-10,2023-10-10,2.1137780388603997,0.11566908742395486,-0.22724631318407207
2005-11-25,2015-11-25,1.803965672538995,0.09106196305093128,-0.4012738873789594
2014-10-02,2024-10-02,2.4639117045542775,0.13920291430299953,-0.22532833148781806
2004-03-10,2014-03-10,1.7673638430585328,0.08851673291141189,-0.4361859423242297
2003-05-06,2013-05-06,1.6484061625694342,0.07798708949301907,-0.45478008898115274
2011-01-06,2021-01-06,2.4819165535315157,0.14006324130871275,-0.23062290369048777
2010-03-24,2020-03-24,1.7709853877620645,0.08830849617179566,-0.13299046945162518
2001-08-07,2011-08-05,1.178086876606914,0.025971944921566483,-0.4644656256920743
2013-08-15,2023-08-15,2.1911538415960594,0.12087441890907898,-0.2275133812072001
2002-08-27,2012-08-27,1.4778918276288193,0.06067530592466102,-0.46302875090386053
2013-02-21,2023-02-21,2.12095156420013,0.11563972621012136,-0.2284090822088356
1999-04-26,2009-04-24,0.7925550971186476,-0.037445517631294105,-0.47454134551383687
2012-12-31,2022-12-30,2.102731130395017,0.11397182666596879,-0.2287448777286396
2012-10-25,2022-10-25,2.1468754779538304,0.11732460431804406,-0.2289426557921258
2012-09-14,2022-09-14,2.1762905866930637,0.11987122507232482,-0.22891033392307225
