date,invested_nzd_cum,invested_usd_cum,value_SPY_weekly_usd,value_SPY_daily_usd,value_SPY_dip_usd,value_QQQ_weekly_usd,value_QQQ_daily_usd,value_QQQ_dip_usd
2022-07-25,54795.91836734708,36684.2390444814,42375.266829915476,42229.356954226794,42247.42316345395,42701.056405423195,42524.94002901715,42562.69719401327
2022-08-01,55102.04081632668,36876.4569990489,44195.76563687944,44054.09249815791,44072.852906260036,45026.3980153238,44852.59210423351,44892.23542167155
2022-08-08,55408.16326530627,37067.46836097874,44625.63805362584,44491.25801160851,44510.11981247539,45994.357781127044,45825.392468168146,45865.719846813954
2022-08-15,55714.28571428586,37264.90175237462,46537.89837585742,46406.59280398148,46426.17940622939,47962.954715146654,47796.49307120477,47838.37338778194
2022-08-22,56020.408163265456,37453.969041911936,45043.89087984387,44922.47674089423,44941.35498033401,45459.07652489674,45305.317393372505,45344.84628248053
2022-08-29,56326.53061224505,37641.10147344824,44062.84363078183,43949.58706938627,43968.372776136544,44207.37307948021,44062.40232378989,44100.949254964784
2022-09-06,56632.65306122464,37828.00425680317,42950.72285442941,42846.08279759964,42864.314680001706,42744.53394402345,42609.17369707019,42646.28212412754
2022-09-12,56938.775510204236,38015.13438930318,45359.251439434905,45218.757307751075,45237.932137620905,45511.93852577619,45338.53716216943,45377.8856399971
2022-09-19,57244.89795918383,38198.673153410164,43244.423995606034,43118.13122287797,43137.36945443532,42888.22848571412,42732.533051568316,42770.643607259546
2022-09-26,57551.02040816342,38374.44599185672,40722.372027471065,40609.35390107843,40627.391946032854,40606.09776567869,40465.31201203807,40501.2384702798
2022-10-03,57857.142857143015,38546.444214120216,41151.45672815639,41046.988448839926,41065.14037069357,40653.775809966486,40521.53313925392,40557.34960456532
2022-10-10,58163.26530612261,38718.08081257101,40583.38090172369,40484.9796093329,40502.80524377904,39767.18894160324,39641.37799904455,39676.24506626417
2022-10-17,58469.3877551022,38888.77471490783,41520.6059757853,41430.05679770259,41448.2191193383,40376.74169012147,40259.37616879911,40296.20932842746
2022-10-24,58775.510204081795,39065.22332405558,43060.99983313706,42974.98239432228,42993.74134531127,41917.3115880085,41803.58565385504,41841.663215460314
2022-10-31,59081.63265306139,39242.83285530246,44072.842276538046,43991.822938893565,44010.945312338445,42019.65948088632,41911.40661929626,41949.4158134523
2022-11-07,59387.75510204098,39423.26786566754,43538.91030211253,43464.95436111594,43483.766784225096,40633.891258509895,40534.78545823031,40570.85822556749
2022-11-14,59693.877551020574,39610.16493792437,45464.1539569364,45393.20171482063,45412.765247941374,43531.333333448616,43433.86190835188,43472.34096404123
2022-11-21,60000.00000000017,39798.97557472697,45591.97754908404,45526.4712024472,45546.008492429915,43178.76040960616,43086.13453064744,43124.13503613894
2022-11-28,60306.12244897976,39989.28277468195,45934.81404256125,45833.98896120116,45853.591613758574,43494.66794966169,43366.4772878304,43404.58833091882
2022-12-05,60612.244897959354,40185.3416708051,46557.825584005404,46457.632757743835,46477.41761206998,44449.21111869021,44320.90741728952,44359.683061998534
2022-12-12,60918.36734693895,40381.05211695847,46678.978160697516,46586.72575409748,46606.478924886695,44326.57097767811,44207.025868410215,44245.52379729594
2022-12-19,61224.48979591854,40576.097940912055,44863.29755670691,44777.985924752305,44796.888215250074,42164.79115815478,42053.19058171569,42089.9502681123
2022-12-27,61530.61224489813,40769.16934884325,45219.29072087994,45140.234338675626,45159.20527313255,41393.43579590446,41288.069317042326,41323.988206540605
2023-01-03,61836.73469387773,40962.83438254376,45344.18903808687,45231.820678968004,45250.76276359445,41728.43646079732,41589.38500676178,41625.4265393512
2023-01-09,62142.85714285732,41157.50064655227,46377.10743857343,46228.62444325659,46247.916699387795,42879.20324132342,42703.973395318346,42740.84072755059
2023-01-17,62448.97959183691,41353.10978913795,47757.6749112866,47613.01267100574,47632.79785394657,44818.28033470121,44644.87172172551,44683.238079296825
2023-01-23,62755.102040816506,41551.755174082165,48299.693600611085,48121.447869912365,48141.37530650472,46198.104356105134,45989.461559605945,46028.839056417404
2023-01-30,63061.2244897961,41750.49596903277,48493.62083003261,48321.59620576682,48341.52165638339,46606.291676972076,46403.15275922409,46442.70878024171
2023-02-06,63367.34693877569,41944.20143657802,49805.86796925848,49639.87983324003,49660.26487929329,48938.67755541067,48737.10591619876,48778.47709315862
2023-02-13,63673.469387755285,42137.435072538814,50363.69490929936,50204.608345566216,50225.14261603011,49278.609260176396,49083.868399017134,49125.36358978504
2023-02-21,63979.59183673488,42328.997473327494,48879.02910052363,48728.87393408615,48748.72477329116,47775.74913630363,47590.01498341265,47630.08338095409
2023-02-27,64285.71428571447,42517.7405805004,48901.211762728264,48720.117118111884,48739.900313489416,47949.87389472057,47732.83806257389,47772.894200049916
2023-03-06,64591.836734694065,42707.830339061984,49919.97679276856,49745.05724923029,49765.175688750234,49131.78270134874,48919.9925625288,48960.877241081456
2023-03-13,64897.95918367366,42896.42623492651,47750.00265548364,47586.118307094715,47605.28621034414,47792.48930115188,47591.66574160981,47631.27899748453
2023-03-20,65204.08163265325,43088.463313725544,49166.613953906686,49004.91789718892,49024.57737151391,50574.57808309565,50370.30002365433,50412.060068330924
2023-03-27,65510.204081632844,43278.59910775205,49700.13841366731,49545.20081795222,49564.997597658126,51225.881773521214,51026.761659799435,51068.90249642106
2023-04-03,65816.32653061244,43469.157450053164,51703.26519339341,51553.170261531086,51573.689031541304,53306.1370796972,53109.90294051658,53153.59833136474
2023-04-10,66122.44897959202,43660.63717676669,51726.14387690053,51545.16627745702,51565.61813706968,53117.99535441667,52891.530220728004,52934.9144333774
2023-04-17,66428.57142857161,43850.479387507155,52462.79548597105,52288.76674370232,52309.43480479862,53469.937169778335,53251.578258371395,53295.09486614735
2023-04-24,66734.6938775512,44038.543001729624,52484.82907709734,52318.97830228874,52339.58095477253,53173.33249318467,52963.93962868017,53007.061788266554
2023-05-01,67040.81632653078,44227.48532222243,53040.09862119131,52881.49742981303,52902.243882183684,54412.45106081614,54208.10270275046,54252.076527365156
2023-05-08,67346.93877551037,44420.31836023137,52879.34166233627,52728.17365710565,52748.7818039637,54858.60183416933,54660.649660259805,54704.82820547518
2023-05-15,67653.06122448995,44609.97942150857,53103.59456839015,52963.14178260753,52983.763410605745,55573.6536663865,55385.31365128312,55429.915302431815
2023-05-22,67959.18367346954,44802.35318140109,54039.14961679545,53903.6781940124,53924.58842032852,57611.17641683781,57424.61589200989,57470.698401194095
2023-05-30,68265.30612244912,44987.38850866047,54403.5371939413,54279.546184742,54300.52581067233,59901.77078945536,59723.85040312995,59771.617124477154
2023-06-05,68571.42857142871,45172.84308161056,55484.96848743495,55328.19669812598,55349.52183939242,60929.30621223869,60717.994686924896,60766.43289829277
2023-06-12,68877.5510204083,45360.51471014414,56543.038726969826,56390.99334598855,56412.65301701762,62076.68080172193,61870.63711537947,61919.838281354285
2023-06-20,69183.67346938788,45550.383998423225,57385.14362526576,57237.39903752583,57259.30855732611,63457.01854657217,63253.528458365574,63303.67317408183
2023-06-26,69489.79591836747,45738.609512241535,56819.92920276492,56641.6604582533,56663.28231636694,62050.60966794909,61818.8068323388,61867.69144333989
2023-07-03,69795.91836734705,45926.32947527634,58634.111956322944,58458.95007018012,58481.190851058665,64425.93627970061,64194.36901210336,64244.977059838086
2023-07-10,70102.04081632664,46116.30599717706,58278.43790970443,58071.66256665032,58093.69637424444,63932.12075917956,63669.45597491704,63719.526888349625
2023-07-17,70408.16326530623,46311.17798844164,59955.25941611805,59749.37134099176,59771.965441408625,66962.73609550059,66696.46088420882,66748.75271973597
2023-07-24,70714.28571428581,46500.024953667016,60590.93125905796,60393.32442831625,60416.08691439692,66034.97328700217,65780.73005467249,65832.14991904017
2023-07-31,71020.4081632654,46688.5994648447,61258.41932169149,61068.0818625508,61091.02426438491,67531.15257747786,67281.6808277225,67334.11889285641
2023-08-07,71326.53061224498,46875.33691829567,60497.762434191754,60317.858043494874,60340.44562876816,66223.56818288047,65986.82887382864,66038.10659527806
2023-08-14,71632.65306122457,47058.538472165885,60331.974045474046,60162.14507297269,60184.60235854941,65552.47376932116,65327.97223944629,65378.58846904536
2023-08-21,71938.77551020416,47239.971246038185,59332.63614443382,59173.35076570293,59195.368534677276,64592.25568635449,64379.750696254785,64429.485402113125
2023-08-28,72244.89795918374,47420.91605857929,59975.45545579634,59823.31935712558,59845.50852327138,65280.85496365388,65074.92280702455,65125.04839635978
2023-09-05,72551.02040816333,47602.673087801275,61034.97351544116,60887.095422253486,60909.609334333974,67475.71123864691,67270.81961328803,67322.49095116073
2023-09-11,72857.14285714291,47783.328531956206,61108.302685154245,60930.05576591628,60952.53008865696,67460.0519610375,67225.54745735772,67277.06846196039
2023-09-18,73163.2653061225,47964.105587832804,60845.517731426495,60674.6755612536,60696.9867514031,66607.64959111025,66382.40583918284,66433.13777765815
2023-09-25,73469.38775510209,48146.4658038957,59464.32094468489,59302.58962108147,59324.327477008505,64804.32199825719,64590.53330541691,64639.752838149456
2023-10-02,73775.51020408167,48330.01336272884,58970.99457434522,58816.6267755791,58838.11719257605,65285.209982025284,65077.91580816749,65127.36117393596
2023-10-09,74081.63265306126,48512.85380368332,59841.11219141761,59693.122850237705,59714.86372719745,66425.8465467194,66224.0897592539,66274.26053556609
2023-10-16,74387.75510204084,48693.66822802293,60541.014694427075,60401.41125952647,60423.34072639767,67123.10987905845,66929.01119624126,66979.57204123888
2023-10-23,74693.87755102043,48872.11637837548,58556.30218814685,58426.449611564516,58447.59552764464,64804.958726190016,64623.21155011094,64671.89181820115
2023-10-30,75000.00000000001,49049.925013464344,58055.87763405779,57934.296498178126,57955.19748994497,63803.90065916292,63632.25463682361,63680.0493623839
2023-11-06,75306.1224489796,49233.47917746526,61047.30291663957,60926.07734279514,60947.98921052363,67643.5705233045,67469.07191107191,67519.60538841227
2023-11-13,75612.24489795919,49413.91418783034,61858.27046413405,61744.10950449903,61766.24769091633,69289.70846200475,69120.19264516875,69171.82108342178
